wii	In representations of various accents: with.
'USC'	The constellation Pisces. Chiefly as postpositive, in the designations of stars of this constellation.
Robert Schuller	the name of three kings of Scotland. [SEP] a person who sculls a boat.
@android @BlackBerry	(in science fiction) a robot with a human appearance an open-source operating system used for smartphones and tablet computers [SEP] an edible soft fruit consisting of a cluster of soft purple-black drupelets. the prickly climbing shrub of the rose family that bears blackberries.
Reggie Bush	a style of popular music with a strongly accented subsidiary beat, originating in Jamaica. Reggae evolved in the late 1960s from ska and other local variations on calypso and rhythm and blues, and became widely known in the 1970s through the work of Bob Marley; its lyrics are much influenced by Rastafarian ideas. [SEP] a shrub or clump of shrubs with stems of moderate length (especially in Australia and Africa) wild or uncultivated country a luxuriant growth of thick hair or fur
Gufiaito Ice Cream	internal combustion engine. [SEP] the thick white or pale yellow fatty liquid which rises to the top when milk is left to stand and which can be eaten as an accompaniment to desserts or used as a cooking ingredient a thick liquid or semi-solid cosmetic or medical preparation applied to the skin the very best of a group of people or things a very pale yellow or off-white colour
Jonathan's	(in the Bible) a son of Saul, noted for his friendship with David (1 Sam. 18–20, 2 Sam. 1) and killed at the battle of Mount Gilboa (1 Sam. 31).
Forex International Currency Exchange	foreign exchange. [SEP] existing, occurring, or carried on between nations [SEP] a system of money in general use in a particular country the fact or quality of being generally accepted or in use
SG government	government perceived as excessively interventionist and intruding into all aspects of the lives of its citizens.
MedPage Today	intervene in a dispute in order to bring about an agreement or reconciliation bring about (a result such as a physiological effect) [SEP] on or in the course of this present day
Laghari	a person who makes slow progress and falls behind others
Peter Guber	decrease or fade gradually before coming to an end [SEP] relating to a governor; gubernatorial
Lukas Podolski	a town in northern Bosnia and Herzegovina; population 164,200 (est. 2008). [SEP] an industrial city in Russia, south of Moscow; population 180,000 (est. 2008).
A & S Seafood	the first letter of the alphabet. a shape like that of a capital A the sixth note of the diatonic scale of C major. The A above middle C is usually used as the basis for tuning and in modern music has a standard frequency of 440 Hz. [SEP] the ampersand, used with the meaning ‘and’. [SEP] the nineteenth letter of the alphabet. a shape like that of a capital S [SEP] shellfish and sea fish, served as food
DAVID JONES	(1901–78), English billiards and snooker player, brother of Fred Davis. He held the world championship from 1927 until his retirement in 1946. He was also world billiards champion 1928–32.
Dalai Lama	the spiritual head of Tibetan Buddhism and, until the establishment of Chinese communist rule, the spiritual and temporal ruler of Tibet.
CDC	(in the US) Centers for Disease Control. Commonwealth Development Corporation.
Bessie Jones	(1894–1937), American blues singer. She made over 150 recordings, including some with Benny Goodman and Louis Armstrong. [SEP] a fixation on or compulsive desire for someone or something, typically a drug; an addiction
"""Gopal"	(1866–1915), Indian political leader and social reformer, president of the Indian National Congress from 1905. He was a leading advocate of Indian self-government through constitutional or moderate means.
Ron Paul	(1847–1934), German Field Marshal and statesman, president of the Weimar Republic 1925–34; full name Paul Ludwig von Beneckendorff und von Hindenburg. Elected president in 1925 and re-elected in 1932, he reluctantly appointed Hitler as Chancellor in 1933.
Kim Jong Il	(1942–2011), Korean communist statesman, leader of North Korea 1994–2011; son of Kim Il-sung. He was succeeded in power by his son Kim Jong-un.
EuroMillions	not found
NUS	(in the UK) National Union of Students.
Tanya	a pair of briefs consisting of small panels connected by strings at the sides
GTalk	the main stem of a herbaceous plant
Madoff	an exchange made by handing the ball to a teammate.
Healthy Medlen	in a good physical or mental condition; in good health [SEP] a varied mixture of people or things
104.2 FM	fathom(s).
The Future Sound of London	denoting one or more people or things already mentioned or assumed to be common knowledge. used to point forward to a following qualifying or defining clause or phrase used to make a generalized reference to something rather than identifying a particular instance enough of (a particular thing) (pronounced stressing ‘the’) used to indicate that someone or something is the best known or most important of that name or type used adverbially with comparatives to indicate how one amount or degree of something varies in relation to another [SEP] a period of time following the moment of speaking or wr
RT	right.
CNH	(in the UK) Campaign for Nuclear Disarmament.
piersmorgan	not found
Roger #Federer	(born 1981), Swiss tennis player. In 2017 he won his eighth Wimbledon title, and in 2018 he won his sixth Australian Open title, the latter being his 20th grand slam singles title.
Vince Lombardi	reveal the presence of (a quality or feeling); indicate [SEP] a region of central northern Italy, between the Alps and the River Po; capital, Milan. Italian name Lombardia /ˌlombarˈdia/.
The Rock	a crested cotinga (bird) found in the tropical forests of South America. The male has brilliant orange or red plumage used in communal display.
Los Buitre Inc .	A female native or inhabitant of Los Angeles, California; = Angelena. [SEP] A person who spreads a rumour or report. [SEP] Incorporated
John Perkins	(1165–1216), son of Henry II, king of England 1199–1216; known as John Lackland. He lost most of his French possessions, including Normandy, to Phillip II of France. In 1209 he was excommunicated for refusing to accept Stephen Langton as Archbishop of Canterbury. Forced to sign Magna Carta by his barons (1215), he ignored its provisions and civil war broke out. [SEP] A method of treatment for rheumatic diseases advocated by Elisha Perkins, in which two small pointed rods, one of steel and one of brass, called ‘metallic tractors’, are drawn over the affected area.
Supreme Court	the highest judicial court in a country or state.
AW Services	used to express mild protest, entreaty, or sympathy used to express mild disappointment or self-deprecation used to express pleasure, delight, or affection, especially in response to something regarded as sweet or endearing [SEP] Services contributing to public sanitation, such as water supply and waste management.
@VetriMaaran	not found
@designstreamin	not found
Rudimental	involving or limited to basic principles
UC Davis Chancellor Linda Katehi	University College. [SEP] an annual tennis championship for men, first held in 1900, between teams from different countries. [SEP] a senior state or legal official [SEP] kind of [SEP] a tall New Zealand forest tree with small cream-coloured flowers and dark timber.
Dwyane Wade	(of the moon) have a progressively smaller part of its visible surface illuminated, so that it appears to decrease in size. (of a state or feeling) decrease in vigour or extent; become weaker
Mark/Space , Inc	designating an electronic communication system in which information is conveyed by the intermittent presence and absence of a signal. [SEP] Incorporated
Greenpeace	an international organization that campaigns actively but non-violently for conservation of the environment and the preservation of endangered species.
Eva Longoria	ethyl vinyl acetate, a material used as cushioning in running shoes, consisting of a rubbery copolymer of ethylene and vinyl acetate. (in space) extravehicular activity. [SEP] a large and sparsely populated country of East Asia, bordered by Siberian Russia and China; population 3,000,000 (estimated 2015); official language, Mongolian; capital, Ulaanbaatar (Ulan Bator).
APR Women Volleyball Team	annual or annualized percentage rate (used typically of interest on loans or credit). [SEP] = woman-grown. [SEP] a game for two teams, usually of six players, in which a large ball is hit by hand over a high net, the aim being to score points by making the ball reach the ground on the opponent's side of the court. [SEP] a group of players forming one side in a competitive game or sport
Lakers	a lake trout. a ship constructed for sailing on the Great Lakes.
Baby Nelson	a very young child a lover or spouse (often as a form of address) [SEP] a wrestling hold in which one arm is passed under the opponent's arm from behind and the hand is applied to the neck (half nelson), or both arms and hands are applied (full nelson).
Adam's	Now usually in form Adam fig. A variety of the common fig tree, Ficus carica, grown in South Africa, having large brown fruit (more fully "Adam fig tree").
WCCO	World Council of Churches.
Nigel Hetherington	(born 1954), English motor-racing driver. He won the Formula One world championship in 1992 and the IndyCar championship in 1993.
YouTube's	upload a video of (someone or something) to the video-sharing website YouTube
@ClaudeKelly	not found
KINKI	a region of Japan, on the island of Honshu; capital, Osaka.
Selina Ray	Countess of Huntingdon (1707–91), English religious leader. She was instrumental in introducing Methodism to the upper classes and established many chapels and a training college for ministers. [SEP] each of the lines in which light (and heat) may seem to stream from the sun or any luminous body, or pass through a small opening any of a set of straight lines passing through one point a thing that is arranged radially.
Mousavi	(especially in South Asia) a Muslim doctor of the law.
@abdullah_omar	not found
@runkeeper	a person who runs an inn.
Viadeo	the recording, reproducing, or broadcasting of moving visual images a recording of moving visual images made digitally or on videotape
@TheSulaf	not found
Internet 9 Blog's	a global computer network providing a variety of information and communication facilities, consisting of interconnected networks using standardized communication protocols [SEP] an attack on 11 September 2001 in which two hijacked airliners were flown directly into the World Trade Center in New York City, causing the complete collapse of the twin towers, and a third airliner was flown into the Pentagon. A fourth aircraft was brought to the ground in Pennsylvania as a result of what is thought to be passenger intervention. The airliners were hijacked by Islamic fundamentalist terrorists believe
SingTel	a style of electronic dance music originating in Tanzania, combining elements of hip-hop with influences from East African forms of popular music
neutrogena	the presence of abnormally few neutrophils in the blood, leading to increased susceptibility to infection.
Duchess of Cambridge's	(born 1982), wife of Prince William; born Catherine Elizabeth Middleton. She married Prince William in April 2011 and gave birth to a son, Prince George Alexander Louis, in July 2013, a daughter, Princess Charlotte Elizabeth Diana, in May 2015, and a second son, Prince Louis Arthur Charles, in April 2018.
zaheer	an exercise book or notebook.
Manic Street Preachers	(in psychiatry) relating to or affected by mania [SEP] a public road in a city, town, or village, typically with houses and buildings on one or both sides relating to the outlook, values, or lifestyle of those young people who are perceived as composing a fashionable urban subculture [SEP] = poor priests.
Jeff	A pair of people having widely divergent characteristics, especially dramatically different heights; a pair of stupid, comically ill-matched men. Also in extended use. A pair of police interrogators, one of whom adopts a threatening approach while the other is sympathetic and conciliatory; the style of questioning practised by such a pair.
School Centre of the State Hermitage	an institution for educating children any institution at which instruction is given in a particular discipline a group of people, particularly writers, artists, or philosophers, sharing similar ideas or methods (at Oxford University) the hall in which final examinations are held. a group gambling together [SEP] the point that is equally distant from every point on the circumference of a circle or sphere. the point from which an activity or process is directed, or on which it is focused a place or group of buildings where a specified activity is concentrated [SEP] expressing the relationship be
Bankwest	a support for a person's back when they are seated.
Cristiano Ronaldo	relating to or professing Christianity or its teachings [SEP] (born 1976), Brazilian footballer; full name Ronaldo Luiz Nazario de Lima. A striker, he scored eight goals in the 2002 World Cup, including the two in the final 2–0 win over Germany.
Obama's	(born 1961), US Democratic statesman, 44th president of the US 2009–17; full name Barack Hussein Obama. He was the first African American to be elected to the presidency, and was re-elected in 2012 for a second term. He was awarded the Nobel Peace Prize in 2009.
SAARC	a river of western Europe. Rising in the Vosges mountains in eastern France, it flows 240 km (150 miles) northwards to join the Mosel River in Germany, just east of the border with Luxembourg.
AP AP	Andhra Pradesh. Associated Press. attachment parenting.
@KimKardashian	not found
Bacardi	a West Indian rum produced originally in Cuba.
Helen Keller	(1880–1968), American writer, social reformer, and academic; full name Helen Adams Keller. Blind and deaf from the age of nineteen months, she learned how to read, type, and speak with the help of a tutor. She went on to champion the cause of blind and deaf people throughout the world.
Zac Brown Band	used for emphasis to denote no money at all [SEP] of a colour produced by mixing red, yellow, and blue, as of dark wood or rich soil (of a person) dark-skinned or suntanned [SEP] a flat, thin strip or loop of material, used as a fastener, for reinforcement, or as decoration a stripe, line, or elongated area of a different colour, texture, or composition from its surroundings a range of values or a specified category within a series (used especially in financial contexts) a thing that restrains, binds, or unites
Ron Mueck	Romanian new leu (or lei). [SEP] Representing the characteristic harsh sound made by a duck, goose, etc. Compare "quack". Now chiefly US.
Masonic	relating to Freemasons
JohnCMaxwell	not found
CIA	Central Intelligence Agency.
senate	the smaller upper assembly in the US, US states, France, and other countries the state council of the ancient Roman republic and empire, which shared legislative power with the popular assemblies, administration with the magistrates, and judicial power with the knights.
Hollywood Music	a district of Los Angeles, the principal centre of the American film industry. [SEP] vocal or instrumental sounds (or both) combined in such a way as to produce beauty of form, harmony, and expression of emotion the written or printed signs representing vocal or instrumental sound
Seiten Taisei's	a chewy protein-rich food made from wheat gluten, used in cooking as a meat substitute. [SEP] the First World War.
@ExpatWomanDubai	not found
Salt Lake City Arts & Entertainment	a white crystalline substance that gives seawater its characteristic taste and is used for seasoning or preserving food. any chemical compound formed from the reaction of an acid with a base, with all or part of the hydrogen of the acid replaced by a metal or other cation. an experienced sailor [SEP] a large area of water surrounded by land [SEP] In full "Arts Council of Great Britain" an organization established by Royal Charter in 1946 to promote and support (especially financially) the development and appreciation of the arts in Britain. [SEP] the ampersand, used with the meaning ‘and’. [SE
Blackberry	an edible soft fruit consisting of a cluster of soft purple-black drupelets. the prickly climbing shrub of the rose family that bears blackberries.
Jan Lundgren	January
MindGenies.com	not found
Rudy Giuliani	rude boy. [SEP] A will-o'-the-wisp; an ignis fatuus. Compare "Jill-burnt-tail", "will-o'-the-wisp".
Cowboys	(especially in the western US) a man who herds and tends cattle, performing much of his work on horseback a dishonest or careless person in business, especially an unqualified one
Romain Rolland	(1866–1944), French novelist, playwright, and essayist. His interest in genius led to a number of biographies, and ultimately to Jean-Christophe (1904–12), a cycle of ten novels about a German composer. Nobel Prize for Literature (1915).
Dropbox	a secured container or receptacle into which items such as returned books, keys, payments, or charity donations can be deposited.
Big Max Power	of considerable size or extent of considerable importance or seriousness generous [SEP] a maximum amount or setting [SEP] the ability or capacity to do something or act in a particular way the capacity or ability to direct or influence the behaviour of others or the course of events physical strength and force exerted by something or someone energy that is produced by mechanical, electrical, or other means and used to operate a device the rate of doing work, measured in watts or less frequently horse power. the product obtained when a number is multiplied by itself a certain number of times a 
Hazel	a temperate shrub or small tree with broad leaves, bearing prominent male catkins in spring and round hard-shelled edible nuts in autumn. a reddish-brown or greenish-brown colour, especially of a person's eyes
National Environmental Protection Agency	relating to or characteristic of a nation; common to a whole nation [SEP] relating to the natural world and the impact of human activity on its condition relating to or arising from a person's surroundings [SEP] the action of protecting, or the state of being protected the practice of paying money to criminals so as to prevent them from attacking oneself or one's property [SEP] a business or organization providing a particular service on behalf of another business, person, or group action or intervention producing a particular effect
McDonalds	Any service, organization, etc., likened to the McDonald's chain in some respect, especially in operating in a highly efficient, standardized manner.
holliday slater	an extended period of leisure and recreation, especially one spent away from home or in travelling. a day of festivity or recreation when no work is done a short period during which the payment of instalments, tax, etc. may be suspended [SEP] a person who slates roofs for a living. a woodlouse or similar isopod crustacean.
TeamWox	the combined action of a group, especially when effective and efficient
Shonda	In Jewish usage: a person, thing, or act that brings shame or scandal; a disgrace.
Johann Goethe	(1749–1832), German poet, playwright, and scholar. Involved at first with the Sturm und Drang movement, Goethe changed to a more measured and classical style, as in the ‘Wilhelm Meister’ novels (1796–1829). Notable dramas: Götz von Berlichingen (1773), Torquato Tasso (1790), and Faust (1808–32).
VA	Virginia.
Dwayne Bowe's Franchise Tag	deadly nightshade or belladonna. [SEP] a knot tied with two loops and two loose ends, used especially for tying shoelaces and decorative ribbons a weapon for shooting arrows, typically made of a curved piece of wood joined at both ends by a taut string. a long, partially curved rod with horsehair stretched along its length, used for playing the violin and other stringed instruments. a curved stroke forming part of a letter (e.g. b, p). a metal ring forming the handle of a key or pair of scissors. [SEP] an authorization granted by a government or company to an individual or group enabling them 
#BBC World News	the earth, together with all of its countries and peoples a particular region or group of countries human and social interaction [SEP] newly received or noteworthy information, especially about recent events
Menander	(c.342–292 BC), Greek playwright. His comic plays deal with domestic situations and capture colloquial speech patterns. The sole complete extant play is Dyskolos.
Manu	the archetypal first man of Hindu mythology, survivor of the great flood and father of the human race. He is also the legendary author of one of the most famous codes of Hindu religious law, the Manusmriti (Laws of Manu), composed in Sanskrit and dating in its present form from the 1st century BC.
Reg	a vehicle's registration mark, especially the letter denoting the year of manufacture
@tonyrobbins	not found
christ	the title, also treated as a name, given to Jesus.
GE	the chemical element germanium.
MasterSwings	showing great skill; very accomplished
Cameron	a hill resort region in Pahang, Malaysia.
harsha's	a resort island off the coast of Massachusetts, to the south of Cape Cod.
bbcworl d:	the fourth letter of the alphabet. a shape like that of a capital D the second note of the diatonic scale of C major. the Roman numeral for 500.
Body by Viâ¢	the physical structure, including the bones, flesh, and organs, of a person or an animal the main section of a motor vehicle or aircraft the main or central part of something, especially a building or text a large amount or collection of something a material object a full or substantial quality of flavour in wine a woman's close-fitting stretch garment for the upper body, fastening at the crotch. (in pottery) a clay used for making the main part of ceramic ware, as distinct from a glaze. [SEP] identifying the agent performing an action. indicating the means of achieving something indicating th
Braley	a hardy cereal with coarse bristles extending from the ears, cultivated especially for use in brewing and stockfeed.
QLD	Queensland.
Enrique Bunbury	a collectable object such as a piece of furniture or work of art that has a high value because of its age and quality [SEP] a seaport and resort to the south of Perth in Western Australia; population 32,841 (2008).
B.o.B	date of birth.
Orchid	a plant with complex flowers that are often showy or bizarrely shaped, having a large specialized lip (labellum) and frequently a spur. Orchids occur worldwide, especially as epiphytes in tropical forests, and are valuable hothouse plants.
Brand New Man Utd	a type of product manufactured by a particular company under a particular name an identifying mark burned on livestock or (in former times) criminals or slaves with a branding iron a piece of burning or smouldering wood a sword. [SEP] produced, introduced, or discovered recently or now for the first time; not existing before already existing but seen, experienced, or acquired recently or now for the first time beginning anew and in a transformed way [SEP] an adult male human being a human being of either sex; a person a group or person in a position of authority over others, such as a corporat
Carlos Bocanegra	(1928–2012), Mexican novelist and writer. Notable works: Where the Air is Clear (1958), Terra nostra (1975), and The Old Gringo (1984).
Mark Thomason's	a small area on a surface having a different colour from its surroundings, typically one caused by damage or dirt a line, figure, or symbol made as an indication or record of something a point awarded for a correct answer or for proficiency in an examination or competition (followed by a numeral) a particular model or type of a vehicle or machine a target the act of cleanly catching the ball direct from a kick, knock-on, or forward throw by an opponent, on or behind one's own 22-metre line, and exclaiming ‘Mark’, after which a free kick can be taken by the catcher. [SEP] a light brown gazelle 
Asus	An elongated rostrum on the head of soldier termites of the subfamily Nasutiterminae, through which a sticky defensive fluid can be sprayed.
WTO	World Trade Organization.
Eskom	not found
USAID	non-steroidal anti-inflammatory drug.
Thomas Edison	(1847–1931), American inventor; full name Thomas Alva Edison. He took out the first of more than a thousand patents at the age of 21. His inventions include automatic telegraph systems, the carbon microphone for telephones, the phonograph, and the carbon filament lamp.
MLS	a metric unit of capacity equal to a million litres.
Youri Zoon	a beautiful young woman, especially one of the virgin companions of the faithful in the Muslim Paradise. [SEP] To make a humming, buzzing, or droning sound; to move with, or as if with, such a sound; to move quickly. Also occasionally with object: to cause to move with such a sound; to propel quickly.
pinterest	the feeling of wanting to know or learn about something or someone money paid regularly at a particular rate for the use of money lent, or for delaying the repayment of a debt the advantage or benefit of a person or group a stake or involvement in an undertaking, especially a financial one a group or organization having a common concern, especially in politics or business
G-20	Group of Twenty.
Ethelind Coblin Architect	a prince or lord in Anglo-Saxon England. [SEP] (in folklore and fantasy fiction) a mischievous, ugly creature resembling a dwarf. [SEP] a person who is qualified to design buildings and to plan and supervise their construction a person who designs hardware, software, or networking applications and services of a specified type for a business or other organization
Youssofou Bamba	In emphatic use: = "yourself""yourself". In reflexive use = "yourself". [SEP] a member of an African people of Zambia. the Bantu language of the Bemba, with nearly 2 million speakers.
Insurance Department	an arrangement by which a company or the state undertakes to provide a guarantee of compensation for specified loss, damage, illness, or death in return for payment of a specified premium a thing providing protection against a possible eventuality [SEP] a division of a large organization such as a government, university, or business, dealing with a specific area of activity
AltSounds	An official appointed to test the ale brewed in a particular area.
Rajaie-Shahr	not found
Apple's	the round fruit of a tree of the rose family, which typically has thin green or red skin and crisp flesh. the tree bearing apples, with hard pale timber that is used in carpentry and to smoke food.
kena chelsea	Any of various types of Andean end-blown flute, typically made of wood or cane and having a notched mouthpiece, six finger holes, and a rear thumb hole. [SEP] a residential district of London, on the north bank of the River Thames.
Liechtenstein	a small independent principality in the Alps, between Switzerland and Austria; population 38,000 (estimated 2015); official language, German; capital, Vaduz.
tamil	a member of a people inhabiting parts of southern India and Sri Lanka a Dravidian language spoken by Tamils in southern India, Sri Lanka, and elsewhere. The language is more than 2,000 years old
BBC Radio	the transmission and reception of electromagnetic waves of radio frequency, especially those carrying sound messages the activity or industry of broadcasting sound programmes to the public an apparatus for receiving radio programmes
Target	a person, object, or place selected as the aim of an attack a small round shield or buckler.
Biggs Darklighter	A hardy variety of barley grown mainly in northern England and Scotland. [SEP] A person who uses a jacklight to illuminate, attract, dazzle, or mesmerize game (especially deer) or fish when hunting or fishing at night; a hunter or fisherman who engages in jacklighting. Compare "lamper", spotlighter.
Greyson Chance	a light-coloured rock containing quartz, mica, and fluorine-rich minerals, resulting from the alteration of granite by hot vapour from magma. [SEP] a possibility of something happening the occurrence of events in the absence of any obvious intention or cause
Careers.Org	not found
Kawaii Twikao	(in Japanese popular culture) appealing in an endearing way; cute [SEP] a Japanese barrel-shaped drum.
Khimki	a head covering or veil worn in public by some Muslim women, typically covering the head, neck, and shoulders.
OMON	In Russia or (formerly) the Soviet Union: an elite subdivision of the state militia formed in 1987 to deal with organized crime and keep public order at mass meetings, and used (especially in the early 1990s) to counteract anti-government and regional separatist movements.
Edna Adan	(born 1932), Irish novelist and short-story writer. Her works include the novels The Country Girls (1960) and In the Forest (2002), the collection A Fanatic Heart: Selected Stories (1984), and the biography Byron in Love (2009). [SEP] In the Islamic regions of South-East Asia: custom, accepted practice.
Mark Boulton	a small area on a surface having a different colour from its surroundings, typically one caused by damage or dirt a line, figure, or symbol made as an indication or record of something a point awarded for a correct answer or for proficiency in an examination or competition (followed by a numeral) a particular model or type of a vehicle or machine a target the act of cleanly catching the ball direct from a kick, knock-on, or forward throw by an opponent, on or behind one's own 22-metre line, and exclaiming ‘Mark’, after which a free kick can be taken by the catcher. [SEP] (1728–1809), English e
Microsoft's Cindy	a small two-wheeled foldable aluminium scooter for both children and adults. [SEP] Of the nature of or resembling rind or (in early use) the bark of a tree; having a rind, especially a thick or tough one.
Max von Sydow	a maximum amount or setting [SEP] (1835–1917), German organic chemist; full name Johann Friedrich Wilhelm Adolf von Baeyer. He prepared the first barbiturates and investigated dyes, synthesizing indigo and determining its structural formula. Nobel Prize for Chemistry (1905).
Kevin Trudeau	(born 1951), English footballer and manager; full name Joseph Kevin Keegan. He played as an attacker for clubs including Liverpool and Hamburg, and played for England 1972–82. He has managed Newcastle United and Fulham, and was England coach 1999–2000. [SEP] (born 1971), Canadian Liberal statesman, prime minister of Canada since 2015; full name Justin Pierre James Trudeau. He is the son of former Prime Minister Pierre Trudeau.
@shakasisulu	not found
Bashar al-Assad	a person who physically assaults another a harsh critic or opponent [SEP] (1930–2000), Syrian statesman; president 1971–2000. While in office he ensured the strengthening of Syria's oil-based economy and suppressed political opposition such as the uprising of Muslim extremists (1979–82). He supported the coalition forces during the 1991 Gulf War. His son Bashar al-Assad (born 1965) succeeded him: in 2011 a series of protests against his rule led to the Syrian civil war.
UTSA Socialite	United States of America. United States Army. [SEP] a person who is well known in fashionable society and is fond of social activities and entertainment.
RVP	Run of paper (or press or publication); chiefly attributive, especially with reference to the inclusion of advertisements or the use of colour printing in newspapers.
Lauren Oliver	Baron Olivier of Brighton (1907–89), English actor and director; full name Laurence Kerr Olivier. Following his professional debut in 1924, he performed all the major Shakespearean roles; he was also director of the National Theatre (1963–73). His films include Rebecca (1940), Henry V (1944), and Hamlet (1948).
BillGate s:	covered with rounded swellings like blisters. [SEP] the nineteenth letter of the alphabet. a shape like that of a capital S
Fed	not found
Albert Einstein	(1879–1955), German-born US theoretical physicist, founder of the special and general theories of relativity. a genius
White Horse	white-crested waves at sea.
youtube	upload a video of (someone or something) to the video-sharing website YouTube
Neo	new a new or revived form of
Kylie Minogue	(in Western Australia) a boomerang. [SEP] a long, narrow canoe made from a single tree trunk, especially in Central America and the Caribbean.
Harry Potter	persistently carry out attacks on (an enemy or an enemy's territory) [SEP] occupy oneself in a desultory but pleasant way
CCA	Cubic close packed, cubic close packing.
Neal Boortz	(1901–60), American novelist. Her novels reflect her interest in folklore, especially that of the Deep South. Notable works: Jonah's Gourd Vine (1934) and Seraph on the Suwanee (1948). [SEP] help or encourage (something) to increase or improve push from below steal (something)
Michael Anthony	A game in which one group of children throws a ball over a building for another group to catch, the successful catching player then running around the building to tag one or more members of the throwing team, who must then join the catching side.
WikiLeaks	not found
Veena Malik	an Indian stringed instrument, with four main and three auxiliary strings. The southern type has a lute-like body; the older northern type has a tubular body and a gourd fitted to each end as a resonator. [SEP] (in parts of South Asia and the Middle East) the chief of a village or community.
The Beatles	things quieten down
Dodge	avoid (someone or something) by a sudden quick movement expose (one area of a print) less than the rest during processing or enlarging (of a bell in change-ringing) move one place contrary to the normal sequence, and then back again in the following round.
Mayor Boudreau	(in England, Wales, and Northern Ireland) the head of a town, borough, or county council, elected by council members and generally having purely ceremonial duties. [SEP] a writing desk with drawers and typically an angled top opening downwards to form a writing surface. an office or department for transacting particular business
IXMD	not found
Dale Carnegie	a valley, especially in northern England. [SEP] (1835–1919), Scottish-born US industrialist and philanthropist. He built up a fortune in the steel industry in the US, then retired from business in 1901 and devoted his wealth to charitable purposes, in particular libraries, education, and the arts. He established the Carnegie Institute of Technology in 1900.
USDA Rural Development	United States Department of Agriculture. [SEP] in, relating to, or characteristic of the countryside rather than the town [SEP] the process of developing or being developed an event constituting a new stage in a changing situation the process of converting land to a new purpose by constructing buildings or making use of its resources the process of starting to be affected by an ailment or feeling the process of treating photographic film with chemicals to make a visible image the process of bringing one's pieces into play in the opening phase of a game
Sheikh Ahmad Hmoud Al-Sabah	an Arab leader, in particular the chief or head of an Arab tribe, family, or village a leader in a Muslim community or organization. [SEP] a state of Malaysia, comprising the northern part of Borneo and some offshore islands; capital, Kota Kinabalu. A British protectorate from 1888, it joined Malaysia in 1963.
CARA B NaturallyÂ®	‘Dear wife’; a wife or close female companion. [SEP] the second letter of the alphabet. the seventh note of the diatonic scale of C major. [SEP] without special intervention; in a natural manner as may be expected
MFAT	Of a person or place: to be uncomfortably hot; to be sweltering. Compare "mafting", "mafted".
Rainsy	(of weather, a period, or an area) having or characterized by considerable rainfall
ufc	(in the UK) Air Force Cross, awarded for bravery while flying but not in active service against an enemy. (in the UK) Association Football Club. automatic frequency control, a system in radios and television which keeps them tuned to an incoming signal.
kddafe	not found
Recoil	suddenly spring or flinch back in fear, horror, or disgust rebound or spring back through force of impact or elasticity
Gandhiji	relating to or characteristic of the Indian nationalist and spiritual leader Mahatma Gandhi
democracynow	not found
Chris	(born 1934), English mountaineer; full name Christian John Storey Bonington. He made the first British ascent of the north face of the Eiger in 1962 and led expeditions to Mount Everest in 1975 and 1985 (when he reached the summit).
Beliebers	a person who believes in the truth or existence of something an adherent of a particular religion; someone with religious faith
"Ray ""Catfish"" Comstock"	each of the lines in which light (and heat) may seem to stream from the sun or any luminous body, or pass through a small opening any of a set of straight lines passing through one point a thing that is arranged radially. [SEP] an industrial port on the Baltic coast of Germany; population 199,900 (est. 2006).
Prime Minister's	The action of performing the duties of prime minister.
Pakistani actress	relating to Pakistan or its people [SEP] a woman whose profession is acting on stage, in films, or on television
Sunsuper Dreams	the time in the morning when the sun appears or full daylight arrives [SEP] used to express good wishes to a person going to bed.
@OmarDeMoya	not found
Lady Gaga	a polite or formal way of referring to a woman a woman of good social position a man's wife a women's public toilet. [SEP] no longer in possession of all one's mental faculties, especially on account of old age
The Times Leader	denoting one or more people or things already mentioned or assumed to be common knowledge. used to point forward to a following qualifying or defining clause or phrase used to make a generalized reference to something rather than identifying a particular instance enough of (a particular thing) (pronounced stressing ‘the’) used to indicate that someone or something is the best known or most important of that name or type used adverbially with comparatives to indicate how one amount or degree of something varies in relation to another [SEP] multiply (a number) [SEP] the person who leads or comma
T-Mobile	forming nouns denoting vehicles of a particular type
Pentagon	a plane figure with five straight sides and five angles.
Jay	a bird of the crow family with boldly patterned plumage, typically having blue feathers in the wings or tail. a person who talks at length in a foolish or impertinent way.
ABC News' Christiane Amanpour	the alphabet the rudiments of a subject [SEP] newly received or noteworthy information, especially about recent events [SEP] relating to or professing Christianity or its teachings [SEP] an hour regarded in terms of the amount of work that can be done by one person within this period.
Corbis	a raven, crow, or rook.
Ayreon	a large damselfly that has a body with a metallic sheen.
Meg Whitman	(1819–92), American poet. In 1855 he published the free verse collection Leaves of Grass, incorporating ‘I Sing the Body Electric’ and ‘Song of Myself’; eight further editions followed in Whitman's lifetime.
Greyson	a light-coloured rock containing quartz, mica, and fluorine-rich minerals, resulting from the alteration of granite by hot vapour from magma.
CHEAP O AIR	low in price, especially in relation to similar items or services of little worth because achieved in a discreditable way requiring little effort [SEP] the fifteenth letter of the alphabet. nought or zero (in a sequence of numerals, especially when spoken) a shape like that of a capital O; a circle [SEP] the invisible gaseous substance surrounding the earth, a mixture mainly of oxygen and nitrogen. an impression of a quality or manner given by someone or something a tune or short melodious song a jump off the ground on a snowboard or skateboard.
